排名,名称,跑分,核心数,线程数,频率,上市时间,详情页
589,Intel Core i5 12500,2032,6,12,3.0GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i5-12500
590,Intel Xeon Gold 5418Y,2030,24,48,2GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-gold-5418y
591,AMD Ryzen 7 7730U,2026,8,16,2.0GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-7-7730u
592,AMD Ryzen Threadripper PRO 5955WX,2020,16,32,4GHz,2022.03,https://www.topcpu.net/cpu/amd-ryzen-threadripper-pro-5955wx
593,Intel Xeon Platinum 8468,2018,48,96,2.1GHz,2023.01,https://www.topcpu.net/cpu/intel-xeon-platinum-8468
594,AMD Ryzen 5 5500GT,2017,6,12,3.6GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-5-5500gt
595,Intel Xeon 6980P,2015,128,256,2GHz,2024.09,https://www.topcpu.net/cpu/xeon-6980p
596,Intel Xeon E-2334,2014,4,8,3.4GHz,2021.09,https://www.topcpu.net/cpu/intel-xeon-e-2334
597,AMD Ryzen 7 5700,2014,8,16,3.7GHz,2022.04,https://www.topcpu.net/cpu/amd-ryzen-7-5700
598,AMD EPYC Embedded 9554,2013,64,128,3.1GHz,2023.03,https://www.topcpu.net/cpu/amd-epyc-embedded-9554
599,AMD EPYC 9554,2013,64,128,3.1GHz,2022.11,https://www.topcpu.net/cpu/amd-epyc-9554
600,Intel Core i7 12700H,2011,14,20,2.3GHz,2022.01,https://www.topcpu.net/cpu/intel-core-i7-12700h
601,Intel Core i9 11950H,2010,8,16,2.1-2.6GHz,2021.05,https://www.topcpu.net/cpu/intel-core-i9-11950h
