排名,名称,Cinebench_R23_多核跑分,核心数,线程数,频率,上市时间,详情页
47,AMD Ryzen 9 7945HX,33542,16,32,2.5GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx
48,AMD Ryzen 9 7945HX3D,33539,16,32,2.3GHz,2023.08,https://www.topcpu.net/cpu/amd-ryzen-9-7945hx3d
49,AMD Ryzen 9 7940HX,33370,16,32,2.4GHz,2024.01,https://www.topcpu.net/cpu/amd-ryzen-9-7940hx
50,Intel Core Ultra 9 285,33309,24,24,2.5GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-9-285
51,Intel Core i7 14700F,32790,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700f
52,AMD Ryzen 9 9900X,32626,12,24,4.4GHz,2024.06,https://www.topcpu.net/cpu/amd-ryzen-9-9900x
53,Intel Core i7 14700,32602,20,28,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14700
54,Intel Xeon W-3175X,32315,28,56,3.1GHz,2019.01,https://www.topcpu.net/cpu/intel-xeon-w-3175x
55,Intel Core i9 14900HX,31592,24,32,2.2GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i9-14900hx
56,Apple M5 Max (40-core GPU),31566,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-40-core-gpu
57,Intel Core i9 13980HX,31314,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13980hx
58,Intel Core Ultra 9 275HX,31244,24,24,2.7GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-9-275hx
59,Apple M5 Max (32-core GPU),31082,18,18,4.61GHz,2026.03,https://www.topcpu.net/cpu/apple-m5-max-32-core-gpu
60,Intel Core i7 13700K,30770,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700k
61,Intel Core i7 13700KF,30770,16,24,3.4GHz,2022.09,https://www.topcpu.net/cpu/intel-core-i7-13700kf
62,AMD Ryzen AI Max 390,30768,12,24,3.2GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-390
63,Intel Core i9 13950HX,30317,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13950hx
64,AMD Ryzen Threadripper 2990WX,29651,32,64,3.0GHz,2018.08,https://www.topcpu.net/cpu/amd-ryzen-threadripper-2990wx
65,AMD Ryzen 9 8940HX,29610,16,32,2.4GHz,2025.04,https://www.topcpu.net/cpu/amd-ryzen-9-8940hx
66,Intel Core i7 14790F,29535,16,24,2.1GHz,2024.01,https://www.topcpu.net/cpu/intel-core-i7-14790f
67,Intel Core i9 13900HX,29473,24,32,2.2GHz,2023.01,https://www.topcpu.net/cpu/intel-core-i9-13900hx
68,AMD Ryzen 9 7900,29358,12,24,3.7GHz,2023.01,https://www.topcpu.net/cpu/amd-ryzen-9-7900
69,AMD Ryzen 9 7900X,29242,12,24,4.7GHz,2022.09,https://www.topcpu.net/cpu/amd-ryzen-9-7900x
70,Intel Core Ultra 5 250KF Plus,29012,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250kf-plus
71,Intel Core Ultra 5 250K Plus,28965,18,18,4.2GHz,2026.03,https://www.topcpu.net/cpu/intel-core-ultra-5-250k-plus
72,Intel Core Ultra 7 265F,28930,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265f
73,Apple M2 Ultra,28910,24,24,3.5GHz,2023.05,https://www.topcpu.net/cpu/apple-m2-ultra
74,AMD Ryzen 9 PRO 7945,28905,12,24,3.7GHz,2023.06,https://www.topcpu.net/cpu/amd-ryzen-9-pro-7945
75,AMD Ryzen AI Max 385,28876,8,16,3.6GHz,2025.01,https://www.topcpu.net/cpu/amd-ryzen-ai-max-385
76,AMD Ryzen 9 5950X,28782,16,32,3.4GHz,2020.10,https://www.topcpu.net/cpu/amd-ryzen-9-5950x
77,Intel Core Ultra 7 265,28699,20,20,2.4GHz,2024.12,https://www.topcpu.net/cpu/intel-core-ultra-7-265
78,Intel Core i9 7980XE,28196,18,36,2.6GHz,2017.09,https://www.topcpu.net/cpu/intel-core-i9-7980xe
79,Intel Core Ultra 7 270HX Plus,28042,20,20,2.4GHz,2026.01,https://www.topcpu.net/cpu/intel-core-ultra-7-270hx-plus
80,Intel Core Ultra 7 265HX,27881,20,20,2.6GHz,2025.01,https://www.topcpu.net/cpu/intel-core-ultra-7-265hx
81,Intel Core i9 12900KS,27796,16,24,3.4GHz,2022.04,https://www.topcpu.net/cpu/intel-core-i9-12900ks
82,Intel Core i9 12900K,27422,16,24,"3,2GHz",2021.10,https://www.topcpu.net/cpu/intel-core-i9-12900k
